,mae,srcc,plcc,p-val,best2,best4,epoch,path json,path py
105,7.634687900543213,0.8516571521759033,0.8721237182617188,0.81180,0.8501696586608887,0.8475607633590698,20,Tres_clive_921337885434813941.json,effnet4_adamw.py
42,7.5431318283081055,0.8515139222145081,0.884089469909668,0.86531,0.8507739305496216,0.8490558862686157,60,Tres_clive_7249776565711568599.json,lastGood_var2_maeXdmrl_w01_a0.py
122,7.4297285079956055,0.8514835834503174,0.883600115776062,0.87677,0.8504295349121094,0.8496943712234497,110,Tres_clive_1116808785334143387.json,lastGood_var2_maeXdtl_w1_v2.py
70,8.851497650146484,0.8514408469200134,0.8764815330505371,0.89298,0.8512312173843384,0.8492522239685059,30,Tres_clive_481067663587499458.json,org_best_5.py
121,7.609340190887451,0.8509655594825745,0.8838962316513062,0.92473,0.8495045900344849,0.8468254804611206,90,Tres_clive_719326035856858053.json,lastGood_var2_v3.py
12,7.560204982757568,0.8508545756340027,0.8810487389564514,0.88246,0.848565399646759,0.8476413488388062,149,Tres_clive_6883015414973245233.json,lastGood_var2_mse.py
68,7.708364486694336,0.8498831391334534,0.8865259885787964,0.54764,0.8493158221244812,0.8489695191383362,30,Tres_clive_5264884503860525156.json,lastGood_var2_hubert.py
127,7.378592491149902,0.8498603701591492,0.8755903244018555,0.54088,0.8487380743026733,0.8481982946395874,70,Tres_clive_7262409513868502776.json,org_best_v2_2.py
132,11.236196517944336,0.849565327167511,0.8714966773986816,0.45874,0.8490435481071472,0.8446815013885498,70,Tres_clive_800832418729938180.json,test_ffn_1024_dr05_freeze80.py
50,7.676767349243164,0.8492892384529114,0.8763735890388489,0.39109,0.8444642424583435,0.8409559726715088,30,Tres_clive_2824267789072402905.json,lastGood_var2_maeXdmrl_w1_a0.py
92,8.94667911529541,0.8491507172584534,0.8809516429901123,0.36045,0.8484031558036804,0.8419265151023865,30,Tres_clive_3518814923697554300.json,lastGood_var2_dropout025.py
24,7.649189472198486,0.8486925363540649,0.8812260627746582,0.27392,0.8447611927986145,0.8445771336555481,110,Tres_clive_776638020563880298.json,lastGood_var2_v5.py
57,8.105508804321289,0.8486062288284302,0.8785669803619385,0.25999,0.843311607837677,0.8413345217704773,80,Tres_clive_32155219983325074.json,lastGood_var2_6xTrans.py
136,18.68274688720703,0.8482456803321838,0.8903117775917053,0.20893,0.8441179990768433,0.8419521450996399,60,Tres_clive_5124075193848276302.json,org_dml_4.py
72,7.512149333953857,0.8479411602020264,0.8829817771911621,0.17378,0.8471993207931519,0.8419663906097412,149,Tres_clive_941038092386876607.json,lastGood_var2_dropout_fc.py
128,17.213178634643555,0.8474962115287781,0.8544561266899109,0.13316,0.8464242219924927,0.8446027636528015,120,Tres_clive_822802878082881730.json,org_effnet_1.py
13,7.964784145355225,0.847460150718689,0.8643269538879395,0.13034,0.8424046635627747,0.8418126702308655,90,Tres_clive_4449766589931245183.json,org_dropout01_1.py
88,18.100828170776367,0.8473141193389893,0.8978196978569031,0.11959,0.8441701531410217,0.8410091400146484,130,Tres_clive_3715148344981471509.json,org_effnet_3.py
134,8.002262115478516,0.8472325205802917,0.8763151168823242,0.11400,0.8459280729293823,0.843648374080658,100,Tres_clive_4466906600756400441.json,lastGood_var1.py
49,21.270065307617188,0.8470218777656555,0.8710421919822693,0.10086,0.8353644609451294,0.608262836933136,30,Tres_clive_2703581316532346199.json,org_dtl_1.py
139,17.302045822143555,0.8467144966125488,0.8639450669288635,0.08461,0.8434415459632874,0.8431379795074463,140,Tres_clive_1458972176227548636.json,org_effnet_2.py
36,16.680641174316406,0.8466870188713074,0.8710243105888367,0.08330,0.8452962636947632,0.8434463143348694,149,Tres_clive_907266408935239685.json,org_basicL1Loss.py
1,7.683630466461182,0.8460010886192322,0.8743091821670532,0.05710,0.8448569774627686,0.8378177881240845,90,Tres_clive_8124955111128391771.json,lastGood_var2_v2.py
93,22.159875869750977,0.8458521366119385,0.8653994202613831,0.05275,0.8431446552276611,0.8410347700119019,220,Tres_clive_8329236329920644027.json,org_dtl_2.py
108,8.274787902832031,0.8457288146018982,0.8694693446159363,0.04943,0.8435316681861877,0.8409019112586975,150,Tres_clive_1128390872586752808.json,org_best_2.py
115,7.648308753967285,0.8447469472885132,0.8682165741920471,0.03017,0.8414568901062012,0.8329851627349854,110,Tres_clive_1544541784817801781.json,lastGood_var2_freeze.py
